id,title,subtitle,isbn10,isbn13,google_books_id,"status(0＝見つからず,1=完了,2=不完全）",author,
1,人生計画の立て方,,4408551244,9784408551241,oUFpnAEACAAJ,1,本多静六,
2,ねぇ、どれがいい？,,4566001989,9784566001985,Yl1-RQAACAAJ,1,ジョン・バーニンガム,
3,５分後に意外な結末,,4052038959,9784052038952,iskongEACAAJ,1,学研教育出版,
4,風をつかまえた少年,14歳だったぼくはたったひとりで風力発電をつくった,4167902656,9784167902650,mXbCrQEACAAJ,1,ウィリアム・カムクワンバ,ブライアン・ミーラー
5,知的トレーニングの技術,,4480096868,9784480096869,Ics3jgEACAAJ,1,花村太郎,
6,タイタンの妖女,,4150117004,9784150117009,fj93QgAACAAJ,1,カート・ヴォネガット,
7,プラネテス（２）,,4063287785,9784063287783,zKrBBQAAQBAJ,1,幸村 誠,
8,いやな気分よ、さようなら,自分で学ぶ「抑うつ」克服法,4791102061,9784791102068,kac2AAAACAAJ,1,デビッド・D・バーンズ,
9,世界全史 ,「35の鍵」で身につく一生モノの歴史力,453405243X,9784534052438,DrIzrgEACAAJ,1,宮崎正勝,
10,輝く夜,,4062767783,9784062767781,SkQaTwEACAAJ,1,百田尚樹,
11,夏への扉,,415011742X,9784150117429,Z2HUQwAACAAJ,1,ロバート・A. ハインライン,
12,イキルキス,,4062778009,9784062778008,mE3UoAEACAAJ,1,舞城王太郎,
13,もやしもん 7,,,,oLUvAQAAIAAJ,2,石川雅之,
14,ナナヲチートイツ　（1）,,,,TeXlAwAAQBAJ,2,森橋ビンゴ,前川かずお
15,エア・ギア（３４）,,,,VGnBBQAAQBAJ,2,大暮維人,
16,ワンピース,,4088743148,9784088743141,MxefkgEACAAJ,0,尾田栄一郎,
17,Arms(アームズ)5,,4091248853,9784091248855,bSFaXwAACAAJ,1,皆川亮二,
18,論点思考,BCG流問題設定の技術,4492556559,9784492556559,k33Bcw9LX98C,1,内田和成,
19,わが半生,,4121601513,9784121601513,5mTuoQEACAAJ,1,ウィンストンチャーチル,
20,浦安鉄筋家族 23,,4253057535,9784253057530,ws55nQAACAAJ,1,浜岡賢次,
21,紫色のクオリア,,404867904X,9784048679046,e8FrQgAACAAJ,1,うえお久光,
22,アンドロイドは電気羊の夢を見るか？,,4062614073,9784062614078,YJ9ZAAAACAAJ,1,Philip K. Dick,
23,聖(セイント)★おにいさん 8,,4063871681,9784063871685,NNERlQEACAAJ,1,中村光,
24,Arms(アームズ)9,,4091211453,9784091211453,1-r5MwEACAAJ,1,皆川亮二,
25,さよなら絶望先生 17,,4063841200,9784063841206,7E1FNAEACAAJ,1,久米田康治,
26,filmmaker's eye,映画のシーンに学ぶ構図と撮影術:原則とその破り方 : 映像によるストーリーテリングの基本を75本を超える名画で解説,4862462138,9784862462138,NSEAngEACAAJ,1,グスタボ・メルカード,Bスプラウト
27,嘘つきみーくんと壊れたまーちゃん,幸せの背景は不幸,4840238790,9784840238793,3lKAQgAACAAJ,1,入間人間,
28,思考、論理、分析,「正しく考え、正しく分かること」の理論と実践,4382055415,9784382055414,qKSxAAAACAAJ,1,波頭亮,
29,正論なのに説得力のない人ムチャクチャなのに絶対に議論に勝つ人 正々堂々の詭弁術,正々堂々の詭弁術,4534038127,9784534038128,v0wqNwAACAAJ,1,小野田博一,
,はばかりながら――「トイレと文化」考,,,,,0,スチュアート ヘン,
,六枚のとんかつ,,4062731274,9784062731270,,2,蘇部健一,
,飯田橋のふたばちゃん,,,,,0,横山了一 ,加藤マユミ
,危ノーマル系女子,,,,,0,真田ジューイチ,
,DEFENCE DEVIL,,,,,0,尹仁完,梁慶一
,牌賊！オカルティ,,,,,0,片山まさゆき,
,角刈りすずめ,,,,,0,"
ＫＩＣＨＩＪＯ（一條マサヒデ×菊地昭夫）",