num,user_id_question,question_text,user_id_answer1,answer_booktitle1,answer_text1,answer_book_id,user_id_answer2,answer_booktitle2,answer_text2,answer_book_id2,user_id_answer3,answer_booktitle3,answer_text3,answer_book_id3
1,1,中学生です。将来お金持ちになれる本、教えてください！,7,人生計画の立て方,"著者の本多さんは貧農に生まれながら苦学して東大教授になり、投資で億万長者になった方です。
この作品でなくともどれも大変勉強になるのですが、まずはこちらを読みながら将来像をより具体化してみてはいかがでしょうか！",1,,,,,,,,
2,2,"小学校低学年のクラスで読み聞かせをすることになりました。
読み聞かせ用の本を探しているのでだれかおすすめ教えてください！",3,ねえ、どれがいい? (評論社の児童図書館・絵本の部屋),"もし、「ゾウにお風呂の水を飲まれる」のと、「ブタに服を着られちゃう」のと、
　「ワシにご飯を食べられちゃう」のと、「カバにベットを取られちゃう」のとでは・・どれがいい？といった、あり得ない選択肢に楽しい空想が広がる絵本です。

低学年の子なら絶対「～がいい！」「～はやだ・・」と反応を返してくれると思いますよ^^",2,,,,,,,,
4,4,"息子がもうすぐ中学生になるのですが、ほとんど本を読みません。
何か読書習慣をつけるきっかけになるような作品はありませんか？",3,青いミステリー (5分後に意外な結末),"読書習慣を身につけるのはなかなか難しいですよね。

こちらの本はいかがでしょうか。
どれも５分で読めるので、学校の読書タイムにおすすめです。

お話は国内外問わず様々な物語が紹介されており、ライトノベルっぽい挿絵もあって
人気の作品ですよ〜
最後のどんでん返しにより、いい意味で裏切られる短編集がたくさん詰まっています。
",3,,,,,,,,
5,5,僕が読んだことなさそうな本教えてほしいっす,6,「トイレと文化」考―はばかりながら (文春文庫),日本育ちの文化人類学者が書いた、トイレの研究。日常生活の中身を考えるうえで示唆に富んでいますよ,,,,,,,,,
6,6,ノンフィクションとか伝記とか好きなんですが、なんかこう胸が熱くなるノンフィクション作品知ってる人！,7,風をつかまえた少年 14歳だったぼくはたったひとりで風力発電をつくった (文春文庫),"アフリカ最貧国・マラウイですべて手作りの風力発電機を作った少年の伝記。
知ってるかもしれませんが、私はこれが好きですのでぜひ",4,10,わが半生 (1965年) (角川文庫),"イギリスの名宰相・チャーチルの半生記。劣等生がいかにしてイギリス首相となり、またノーベル文学賞を得たか。原書 ""My Early Life"" の風格をよく伝える名訳。",19,,,,
7,7,"実際人生で読める本の数って限られてますよね。
一冊当たりの学びを最大化したいとか思っちゃったりするんですけど
本の読み方！みたいなやつ教えてくださいな",10,知的トレーニングの技術〔完全独習版〕 (ちくま学芸文庫),"私も同じことを考えた時期に読んだ本です。
「知的創造は形式的な模倣ではなく、その根本まで突き詰めることで初めて可能になる」として、深く読むことを追求しています。",5,,,,,,,,
8,8,ワンピースで一番好きな巻、教えてー！,9,ONE PIECE 41 (ジャンプ・コミックス),個人的にはやはりウォーターセブン編があついですね,16,,,,,,,,
9,9,"SFの金字塔と言えばフィリップKディックだと思いますが、
sf系作品でみなさんが面白いと思うのはなんですか？",3,タイタンの妖女 (ハヤカワ文庫SF),"ヴォネガットはいつでも、心に沁みます。
ディックももちろん好きですが、時間がある時に静かにゆっくり読みたいのは
ヴォネガットですねえ。",6,,,,,,,,
10,9,無人島に持っていきたい漫画は？,19,プラネテス全4巻 完結セット (モーニングKC),"世の中の深淵さをここまでわかりやすく、大きなスケールで描いた名作だと思います。
正直何回繰り返し読んだかわからないくらいおすすめです。無人島に？当然持って行きますよ",7,,,,,,,,
11,3,なんか最近気分が晴れないです。こんな時どうしたらいいんですかね？,6,〈増補改訂 第2版〉いやな気分よ、さようなら―自分で学ぶ「抑うつ」克服法,"認知療法の世界的権威・バーンズ博士の定評あるテキスト（ワークブック）です。
症状によっては投薬治療と同じか、それ以上の効果があるとされる抑うつの治療のバイブル。アドバイスのタネ本にもなります。",8,6,浦安鉄筋家族 全31巻完結(少年チャンピオン・コミックス) [マーケットプレイス コミックセット],私は普段、漫画はあまり読まないのですがこれだけは読みます。小学生の頃友人の家で読ませてもらったときにあまりにくだらない内容で大笑いをした記憶があります。大人になってから、こういったもので笑えるかどうかは分かりませんが、辛いときにこそ笑ってやるしかありません。この漫画は本当に小学生の低学年の何も考えずに笑っていたあの時を思い出せるのかなと思います。,20,,,,
12,10,"社会人３年目にして、世界史をちゃんと学んでみようと思うのですがたくさん本を読む時間はありません。
できれば一冊でちゃんと要点を抑えられて、面白い本ないですか...orz",6,世界全史　「35の鍵」で身につく一生モノの歴史力,世界史関連の本は少し前から様々な切り口でており面白いものが多いですが、もし一冊だけ読むとしたらこれだと思いますよ。膨大な出来事の中から、画期的であったり見逃せないことを興味深く切り取っていると思います,9,,,,,,,,
13,18,短編小説で心があったかくなるようなやつが読みたいです,3,輝く夜 (講談社文庫),百田尚樹さんと言えば『永遠の０』ですが、正直個人的には永遠の０より好きですね。繊細な優しさが一杯詰まっているクリスマスイブの短編集。特別な日であるクリスマスイブだからこそ起きる小さな温かいドラマが並んでいます。,10,,,,,,,,
14,18,"なんか面白い小説が読みたい気分なんです。ミステリー系の。
おすすめありませんか？",17,六枚のとんかつ (講談社文庫),面白いっていう言葉の解釈は様々だと思いますが、まあ、面白い。三分の一くらいの人は読んだ後本をぶん投げる、もう三分の一は読むのをあきらめる。僕は残りの三分の一の読破してしまった者です。,,,,,,,,,
16,11,SF小説が読みたいんですけど、何となく私はまだ上級者向け読むのは気が引けちゃって……。入門書みたいなのがあったらうれしいです。,19,夏への扉,ふむふむ、私は高校時代から長年SF小説というものに触れていたためか、上級初級という違いに関しては分からなくなっているものの、やっぱり思い出すのはこの小説です。タイムパラドクスものの頂点にして始祖だと、私は個人的には感じております。もし、この小説を読んだ後、あなたが猫好きになったら、きっとこの小説はあなたにとってかけがえのないものになっているでしょう（これ以上はネタバレになってしまうので控えます）。,11,8,紫色のクオリア (電撃文庫),これは『電撃文庫』というところから出ていて、いわゆるラノベっぽいやつです。でも、中身はすごい面白くって、ぜひいろんな人に読んでもらいたいです！超オススメです！,21,,,,
17,12,本棚に彩がほしくて、装幀がかっこいい本。内容じゃなくて、本棚に映える奴。,20,イキルキス (講談社文庫),全体的にピンクと灰色のバランスがとても良い表紙。そして、表紙には水玉模様のように穴が開いている。本棚にあると、結構綺麗に見える。,12,3,アンドロイドは電気羊の夢を見るか? (ハヤカワ文庫 SF (229)),新しいものだと、黒い表紙に黄色い羊が描かれていてお洒落。タイトルを知っている人が見たらタイトルだけでもお洒落。ただ、読んでいないことがばれると結構ダサいので、粗筋だけでも調べておいた方がよさげ。,22,,,,
18,8,あんまり巻数無くてゆるーいやつ、漫画で。,19,もやしもん（１） (イブニングコミックス),ゆるーい、農大物語です。何が緩いかって、主人公も、友人も、教授も、先輩もなんだかんだ緩い,13,8,聖☆おにいさん コミック 1-14巻 セット,有名かもしれないですけど。こちらの方が、荒川、よりも緩いです。取り敢えずにやつくだけの漫画です。,23,,,,
19,14,この前、ネットフリックスで咲ってアニメ見て、麻雀に興味出たんですけど、なんか麻雀漫画有名なのってないですか。カイジ？のやつはネットで見たんですけど、絵が苦手で……。かわいい女の子が出てきてほしいです。,8,ナナヲチートイツ　（1） (近代麻雀コミックス),森橋ビンゴさんという麻雀の多くの原作担当をしている方の作品です。質問者さんの年齢が分かりませんが、子供にはきつめな表現が少々……。いわゆるエログロ……。それが耐えられるなら、女の子はかわいいし、かなり面白いです。麻雀マンガ要素とヤクザマンガみたいなのが混ざってます。,14,19,牌賊！オカルティ　（１） (近代麻雀コミックス),ごめんなさい、カイジの絵がダメなら、これもダメかもです。。。でも、麻雀マンガを知ってる人ならみんなこの人を知ってるってくらい有名な人です！僕も高校の先輩に勧められて呼んだんですけど、絵はなんか合わなかったんですけど、めっちゃ麻雀に詳しくなれました！超おすすめです！,,,,,
20,13,内容は後回しでいいんで画力MAXな感じの漫画おなしゃす,19,エア・ギア（１） (週刊少年マガジンコミックス) ,もしかしたら、知ってるかも。。。グレは外せない。俺は個人的に、天上天下よりこっちのほうが好き。,15,19,ARMS（１） (少年サンデーコミックス),漫画界のレジェンドの皆川先生です。これ読んでないと、超損です。サンデーで連載してたらしいんですけど、今ならトップ間違いなしって感じです。,24,22,DEFENCE　DEVIL,少年サンデーで連載していたマンガです。原作者と作画担当の人が両方とも韓国人のかたです。絵がすごくきれいで、どのキャラもかっこいいです！主人公は悪魔で弁護士です。そして、いろんな方法で人間を弁護したりバトルしたりします。あと、すごく細かいんですけど、男キャラの入浴シーンで乳首にトーンが張ってあって笑いました。上の方が書いてる「ARMS」の原作者の七月さんとのたっぐで「エリアD」っていうのもでてます。,
21,13,ポプテピみたいなブラックジョークの塊みたいなマンガ。,21,飯田橋のふたばちゃん ： 1 (アクションコミックス),飯田橋で分かるように、各出版社が擬人化して業界のジョークを飛ばすマンガ。ポプテピピックを出版している竹書房の扱いが最高。,,22,さよなら絶望先生（１） (週刊少年マガジンコミックス),私は声優さんつながりで、アニメから入りました！主人公の声優さんはあの有名な神谷浩史さんです！あの声で、ブラックジョークがめちゃくちゃに飛び交います。。。（笑）マンガも面白いので、ぜひ！！！,25,,,,
22,16,今中学生で、漫画家を目指しています。今、色々な漫画を模写していて、バトルシーンをうまく書けるよういなりたいです。バトルシーンのかっこいいマンガを教えてください。今模写しているマンガは、ドラゴンボールと、BLEACHです。,19,ARMS（１） (少年サンデーコミックス),皆川啓一先生の作品です。もしかしたら、知っているかもですが、この先生は映画理論や劇画の技術などを漫画に持ち込んだ凄い方です。他の作品ももちろんいいのですが、内容的にも中学に読みやすいのはこの作品かなと思います。主人公が中学生なので。漫画には人間だけでなく、モンスターも多々出てくるのですが、そのデザインも大変勉強になると思いますよ。ぜひ頑張ってください。ちなみに、現在『亜人』を書いてらっしゃる桜井も皆川先生の影響を受けてらっしゃると公言しています。,17,20,Filmmaker's Eye -映画のシーンに学ぶ構図と撮影術:原則とその破り方,漫画家を目指されているなら、構図や撮影術を映画のシーンに学ぶことができるこちらの本もいいかもしれませんね。NARUTOの岸本さんは、映画を見て戦闘シーンの構図を磨き上げて行ったそうですよ。,26,,,,
23,13,この前、とあるアニメでいわゆるメンヘラ女子が出てきて、滅茶苦茶テンションが上がりました。メンヘラ女子が出てくる作品をお願いします。,21,危ノーマル系女子(1) (メテオCOMICS),主人公は目付きが鋭い男子高校生なんですが、周りはメンヘラ女子ばっかりがいます。そして、こういう漫画でありがちな、その女子は全員主人公のことを好きっていう（笑。しかも途中から殺人事件とかも起きてきて、もうメンヘラどころじゃないんですけど、面白いです。,,22,嘘つきみーくんと壊れたまーちゃん― 文庫1-10巻 セット (電撃文庫),映画化もされた作品です。漫画ではなくて、ラノベなんですけど。。。普段はもっと明るいやつを読んでるんですけど、表紙にひかれて、中身がすごかった。。。ネタバレしないように話すのが難しいんですけど、男の子が女の子のことを大好きで、ぎゅーってするのを楽しめばいいと思います。,27,,,,
24,12,論理性を鍛えたい。具体的には、ディベートとかで評価されるようになりたいのですが、手法などが書かれた専門書をご紹介ください。,7,論点思考,いわゆるビジネスモンスターたちと会議をするようになってから、なんだかんだ一番役に立っているのがこれですね。かなり有名な本だから知ってるかもしれません。この本を繰り返し読んでいると少しづつ理解できる日がくると思います。,18,10,思考・論理・分析―「正しく考え、正しく分かること」の理論と実践,かなり難しい。難しいけど本質的だと思うんですよこの本。考えるとは何かを理解していると、ディベートに限らず思考が楽になります。,28,15,正論なのに説得力のない人ムチャクチャなのに絶対に議論に勝つ人 正々堂々の詭弁術,めっちゃおもろいよこれw 書いてあるディベート術を知ってるだけでも、議論に強くなる気がする、頭の良さとか関係ないんだなって思う笑,29
25,13,とてつもなくシュールなギャグマンガがしりたい,21,角刈りすずめ 完全版 (近代麻雀コミックス),笑うっていうか、疑問符が止まらない。満喫で見つけて、訳が分からないまま読んでいた、。麻雀マンガらしいけど、作者も麻雀を知らないらしい。自分も読んでて、麻雀に関する知識はほとんどつかなかった。ただ、シュールものとしては最高。,,,,,,,,,
